Id,label
1,UNDP
2,UNICEF
3,UNCTAD
4,WFP
5,UNEP
6,UNHCR
7,UNFPA
8,UN-HABITAT
9,ITC
10,OCHA
11,UN WOMEN
12,UNITAR
13,UNCCD
14,UNFCCC
15,UNDRR
16,UNOPS
17,UNU
18,FAO
19,ICAO
20,IFAD
21,ILO
22,IMO
23,IMF
24,ITU
25,UNESCO
26,UNIDO
27,UPU
28,WBG
29,WHO
30,WIPO
31,WMO
32,UNWTO
33,IOM
34,IAEA
35,WTO
36,BRS
37,ODA
39,OHCHR
41,UNODC
42,UNOOSA
43,DESA
44,UNDOS
45,CBD
46,CITES
47,CMS
48,ECA
49,ECE
50,ECLAC
51,ESCAP
52,ESCWA
53,RAMSAR
54,Minamata
,
